data_pid,location,price,time,title,month,brand,series,model,storage,coment
,        서울 노원구 상계6.7동      ,440000,,아이폰13 128,,애플,아이폰 13,regular,128,아이폰 13  128기가 화이트색상입니다 선택약정 가능하며 쓰시던유심 그대로 끼워서 바로 사용 가능한 공기계입니다 배터리 효율 90퍼센트로 아주 좋습니다 내부 모든기능 정상 입니다 액정 기스 찍힘 없습니다 테두리 찍힘이 좀 있어서 싸게올립니다  빨리가져가셔요
,        서울 금천구 독산제1동      ,720000,,아이폰13프로 시에라블루 256g 배터리91,,애플,아이폰 13,pro,256,"아이폰13프로 256g 정상해지 팝니다  충전기제외 풀박스  수리이력 정식 및 사설 일절없음  외관 항시 케이스및 필름 부착하여 좋음  배터리초기화전 91퍼, 현재 초기화하여 세팅해야  재확인 가능함  독산역 직거래 선호  중고거래 특성상 교환 및 환불 불가  "
,        서울 노원구 상계6.7동      ,480000,,아이폰 13 128기가,,애플,아이폰 13,regular,128,아이폰 13 128기가 미드나잇 색상 입니다 배터리효율85퍼센트 짱짱해요 선택약정가능한 공기계입니다 쓰던유심 끼우시고 바로사용 가능하세요 내부 모든기능 정상입니다 외관상태도 전체적으로 깨끗합니다 구성품은 기기랑 미사용필름 미사용 투명케이스같이드려요 문의주세요
,        경기도 김포시 사우동      ,470000,,아이폰13 128기가 미드나잇 팔아여,,애플,아이폰 13,regular,128,"<통신사 3사 전부 사용가능> 유심기변용!!! 정상 공기계 에요  100% 실사!!!!!! 기능 이상 없어요!!!! 구매시 필름,케이스 드려요!!!  중고거래 특성상 교환&환불 어려워요 신중한 구매결정 해주세요😊  직거래는 김포 사우역 3번출구 &                 사우동주민센터 가능해요!!! "
,        경기도 파주시 탄현면      ,700000,,아이폰 13프로맥스 셔터음 무음 자급제 팝니다,,애플,아이폰 13,pro max,128,사진처럼 상태 좋습니다  128기가 배터리86프로  수리이력없고 액정기스없고 깨끗합니다  궁금하신건 따로 문의주세요
,        전남 광양시 중동      ,400000,,아이폰13미니128팝니다,,애플,아이폰 13,mini,128,정상해지된 상태입니다 유심만 꽂아 사용하시면 됩니다
,        대전 대덕구 대화동      ,670000,,아이폰 13 프로 256g 선약가능 풀박스,,애플,아이폰 13,pro,256,배터리성능 84프로이며 외관상태 좋습니다  사진상 지문자국보이나 앞뒷판은 아주깨끗하며 테두리에도 눈에띄는 기스나손상없습니다. 카메라에 필름붙여놓은상태인데 원하시면 떼어드립니다.  선택약정 가능하며 박스 및 미사용 케이블 포함입니다.  저렴하게올려요.
,        서울 성동구 성수2가제3동      ,450000,,아이폰13미니256기가,,애플,아이폰 13,mini,256,밧데리 87% 아래부분 찍힘 있어요 케이스 끼시면 괜찮을거같네요 기계는 단품입니다
,        경기도 안양시 동안구 관양동      ,550000,,아이폰 13프로 128기가 골드색상 팝니다,,애플,아이폰 13,pro,128,아이폰 13프로 128기가 골드색상 수리 이력x 배터리 성능85% 다른 기기 기능에는 문제가 없지만 화면을 키면 아래 줄 하나가 보입니다 그거 가만 하여 네고 가능 하니 연락 주세요
,        서울 동작구 상도1동      ,530000,,아이폰13미니 그린 128gb,,애플,아이폰 13,mini,128,"서브폰으로 사용하던폰이라 거의사용감없고 케이스는항상 끼워져있어서 엄청깨끗하게 사용했다고말씀드릴수있습니다. 미세 찍힘이나, 기스도없이 아주 좋은상태입니다. 핸드폰은 거의 사용안한거라고보시면되고 워치연결하려고 사용한폰입니다. 풀박스가지고있어 새것같은느낌으로 사용하시면됩니다. 배터리 86%이고 직거래 상도역 가능합니다."
,        경남 창원시 성산구 상남동      ,580000,,아이폰 13 레드 128기가,,애플,아이폰 13,regular,128,아이폰 13 레드 128기가 판매합니다  2021년도 구매하였고  수리 및 파손 일절없습니다 배터리도 하루 사용하시긴 충분합니다 풀박스 있구요 필요하시면 같이들어있던  충전기도 같이 드리겠습니다 케이스도 필요하시면 드리겠습니다  쿨거시 네고가능하고 성능 하자없고 깨진곳 하나 없습니다 연락 많이 주세요
,        경기도 안산시 단원구 중앙동      ,360000,,아이폰 13미니,,애플,아이폰 13,mini,128,128기가 화이트입니다 배터리성능 89고 앞판 뒷판 다 깨긋합니당
,        경기도 안산시 단원구 중앙동      ,500000,,아이폰13 256기가 판매합니다,,애플,아이폰 13,regular,256,아이폰13 256기가 판매합니다.  외관 전체적으로 깔끔합니다 사진에 기재한 테투리 두부분 제외하고 상태 좋아요  배터리 성능 85%  정상해지폰입니다
,        경기도 고양시 일산동구 장항동      ,700000,,아이폰 13프로맥스 셔터음 무음 자급제,,애플,아이폰 13,pro max,128,사진처럼 상태 좋습니다  128기가 배터리86프로  수리이력없고 액정기스없고 깨끗합니다  궁금하신건 따로 문의주세요
,        전북 전주시 완산구 효자동3가      ,680000,,아이폰13프로 시에라블루 128기가,,애플,아이폰 13,pro,128,생활기스 있고 풀박입니다 배터리잔량이 좀 낮아서 싸게 넘깁니다 배터리잔량:83 연락주세요~
,        경기도 이천시 증포동      ,660000,,아이폰 13프로 128기가 화이트골드 팝니다.,,애플,아이폰 13,pro,128,아이폰 13프로 128기가 화이트골드입니다 갤럭시로 변경하게되어 판매합니다 상태는 기스없는 s급 박스풀 입니다
,        경기도 안산시 단원구 호수동      ,630000,,아이폰13프로 128gb 골드 상태좋아요!,,애플,아이폰 13,pro,128,아이폰 13프로 128기가 골드 색상 판매해요  배터리 성능 86퍼 입니다  외관 정말 깔끔해요 단자쪽 테두리 콕찍힘 외에는 정말 깨끗합니다 액정도 깔끔해요 잔상 없습니다. 기능문제 없고 작동 잘돼여  3사호환 가능한 정상해지폰이에여  택배 퀵 직거래 모두 가능합니당
,        충북 청주시 서원구 분평동      ,600000,,아이폰13프로 128g,,애플,아이폰 13,pro,128,컬러:씨에라블루 상태:a+ 베터리:77 가격할인 쿨거래분만 해드려요 사진 더 보고싶으시면 채팅주세욤
,        대전 대덕구 송촌동      ,730000,,아이폰13 pro max 128gb 블랙 판매합니다.,,애플,아이폰 13,pro max,128,아이폰13 pro max 128gb 블랙 판매합니다. 외관 상태 깨끗합니다. 액정에 잔기스 좀 있습니다. 정상해지 된 기계입니다. 구매하실분만 연락주세요
,        경기도 양주시 옥정동      ,670000,,아이폰13프로 256,,애플,아이폰 13,pro,256,아이폰 판매합니다. 새로운 폰으로 바꿔서 판매하는 거구요 보시다시피 매우 깔끔하게 사용했고 성능 이상 없습니다
,        서울 송파구 신천동      ,650000,,아이폰13프로 128g 상태좋아요,,애플,아이폰 13,pro,128,"2022년 7월 새제품 구매했었습니다 블랙 컬러고 바로 본체, 카메라에 케이스, 강화유리 씌워서 사용해서 흠집 거의 없습니다. 현재 배터리 성능 87% 나옵니다. 태평역이나 잠실역 직거래할게요."
,        충북 청주시 서원구 모충동      ,550000,,아이폰13미니 판매,,애플,아이폰 13,mini,128,kt개통제품 유심기변만 가능 128기가 1년보증 아직 남아있어요  서브 개통해서 사용하지않아서 판매합니다 채팅주세요
,        경남 창원시 진해구 속천동      ,400000,,아이폰 13 mini 팔아용,,애플,아이폰 13,mini,,아이폰 13 미니 팔아요!! 시작부터 케이스 필름 다끼고 사용해서 상태 a급이고 배터리 성능 88% 입니다 ㅎ 박스랑 충전기는 따로 없고 초기화 되어있습니다!!~ 어서 가져가세요!!
,        경기도 수원시 팔달구 인계동      ,650000,,아이폰 13프로 128기가 팝니다.,,애플,아이폰 13,pro,128,아이폰13프로 128기가 그파 팝니다. 수리이력 없으며 배터리성능89% 사생활보호필름 부착되있고 여유분 한장 같이드릴께요 기기단품이고 박스는 본가에 있어 필요시  택배로 따로 발송해드릴수있습니다. 이동어려우시면 가져다 드릴께요
,        세종시  다정동      ,700000,,아이폰 13미니 256gb 핑크 배터리100,,애플,아이폰 13,mini,256,"최근에 중고거래에서 구매했는데 개인적으로 다른색이 갖고싶어 올립니다! 상태 sss급, 기스 없음, 배터리 효율 100%  거래는 수요일부터 가능합니다."
,        충북 청주시 청원구 오창읍      ,480000,,아이폰 13미니 그린판매,,애플,아이폰 13,mini,128,아이폰13미니 그린 128기가 kt개통 유심기변만 가능합니다. 12월에 서브로 개통해서 거의 사용을안해 판매해요 1년보증도 아직 남아있습니다. 채팅주세요
,        경기도 수원시 영통구 망포2동      ,670000,,아이폰13프로 시에라블루 128gb,,애플,아이폰 13,pro,128,"배터리성능 85% 액정기스없고 테두리 약간의 기스있어요. (박스,충전기는 없어요.환불x)"
,        전남 해남군 옥천면      ,450000,,아이폰 13 128기가 87퍼,,애플,아이폰 13,regular,128,아이폰 13 핑크 중고상품으로 반품 환불 불가합니다
