PID,PRICE,PRODUCT_IMAGE,NAME,DATE,LOCATION,DESCRIPTION,DELTA_TIME
175069633,900000,https://img2.joongna.com/media/original/2024/07/04/1720064923321HiZ_XaSi2.jpg?impolicy=thumb&size=150,아이폰 14 프로 맥스 256,2024-07-11 17:07:11,충청남도 천안시 서북구 성정1동,"하단 액정 깨짐 있음 멍없음
사용시 이상없음",0 days 00:30:12.944372
175088746,950000,https://img2.joongna.com/media/original/2024/07/04/1720073207695I88_drHHb.jpg?impolicy=thumb&size=150,아이폰14프로 256g 판매합니다!!,2024-07-11 17:14:24,서울특별시 강남구 신사동,"번인 잔상 없고 액정 생활기스(약) 외관 상처 두곳 있습니다. 사진 참조.

정상해지 됐고 배터리는 88%로 전체적으로 아주 양호한 컨디션의 기기에요.

신사역 8번 출구쪽에서 직거래하며

문의는 O1O 448O O675 로 주세요~",0 days 00:22:59.944372
176038373,900000,https://img2.joongna.com/media/original/2024/07/11/1720674346885nwd_bxQdh.jpg?impolicy=thumb&size=150,아이폰 14프로 급처 네고가능,2024-07-11 16:05:48,전라남도 목포시 산정동,"상태 A급
배터리 성능 85%
찍힘 기스 없음
카메라 정상
페이스 작동 잘됨
풀박스
색상 블랙
사생활 보호 강화 필름 착용
맥세이프 케이스 검정색 있어요
쿨거시 네고해드려요 많이 찔러보세요!",0 days 01:31:35.944372
176055005,900000,https://img2.joongna.com/media/original/2024/07/11/17206819801763On_cmW6L.jpg?impolicy=thumb&size=150,아이폰 14 프로 128기가 급처,2024-07-11 16:14:34,전라남도 목포시 산정동,"급전이 필요해서 팝니다

상태 A급
배터리 성능 85%
찍힘 기스 없음
카메라 정상
페이스 작동 잘됨
풀박스
색상 블랙
사생활 보호 강화 필름 착용
맥세이프 케이스 검정색 있어요
많이 찔러보세요!",0 days 01:22:49.944372
174659957,890000,https://img2.joongna.com/media/original/2024/05/30/1717026903300YmT_ytGPt.jpg?impolicy=thumb&size=150,아이폰14프로 128G 무기스 무찍힘 상태최상,2024-07-11 15:43:21,인천광역시 계양구 작전2동,"인천 작전동 세영중고폰입니다.^^

※출고전 깨끗하게 소독해서 발송해드립니다.

물건은 매일 업데이트되니
유선문의가 조금더 좋으세요 

● 아이폰14프로 128기가
● 공기계. 정상해지 선택약정가능 
● 통신사 관계없이 유심넣고 바로사용가능 
● 하자없음 무찍힘 무기스  상태최상 

●밧데리85프로 

알뜰폰.3g .lte도 사용가능해요 
3사 통신사 관계없이
유심만 꼽고 바로 사용가능해요

사진과 같은급입니다

이것 말고도 신형스마트폰 A급 있어요.
꼭꼭 세영중고폰 확인해주세요^^~~

☎ 유선문의
010-3731-1979
010-6578-6880

집에 안쓰는폰 가져오시면 차액으로 구
매 가능해요.

만약 기능에 이상있어면 1주일내
무조건 교환.환불 해드립니다

★ 세영중고폰
인천작전동 홈플러스 건너편
아래주소를  클릭하시면   세영중고폰 약도가있어요
seyoungphone.modoo.at

★중고폰매입
손님이 가져오는 중고폰을 수출가격이 아닌
내수판매가격 적용으로 타업체보다 단돈 만원이라도
더드리고 있읍니다",0 days 01:54:02.944372
167280041,1090000,https://img2.joongna.com/media/original/2024/06/27/1719465704524OR7_hRaIJ.jpg?impolicy=thumb&size=150,아이폰14프로맥스 256G 상태굿 ^,2024-07-11 15:43:04,인천광역시 계양구 작전2동,"인천 작전동 세영중고폰입니다.^^

※출고전 깨끗하게 소독해서 발송해드립니다.

물건은 매일 업데이트되니
유선문의가 조금더 좋으세요 

● 아이폰14프로맥스 256기가
● 공기계. 선택약정가능 
● 통신사 관계없이 유심넣고 바로사용가능 
● 하자없음  상태굿 무잔상 

●밧데리83프로

알뜰폰.3g .lte도 사용가능해요 
3사 통신사 관계없이
유심만 꼽고 바로 사용가능해요

사진과 같은급입니다

이것 말고도 신형스마트폰 A급 있어요.
꼭꼭 세영중고폰 확인해주세요^^~~

☎ 유선문의
010-3731-1979
010-6578-6880

집에 안쓰는폰 가져오시면 차액으로 구
매 가능해요.

만약 기능에 이상있어면 1주일내
무조건 교환.환불 해드립니다

★ 세영중고폰
인천작전동 홈플러스 건너편
아래주소를  클릭하시면   세영중고폰 약도가있어요
seyoungphone.modoo.at

★중고폰매입
손님이 가져오는 중고폰을 수출가격이 아닌
내수판매가격 적용으로 타업체보다 단돈 만원이라도
더드리고 있읍니다",0 days 01:54:19.944372
176045191,790000,https://img2.joongna.com/media/original/2024/07/11/172067723165655w_2aPEe.jpg?impolicy=thumb&size=150,아이폰 14 프로 256기가 실버 배터리 93퍼 팝니다,2024-07-11 14:54:35,대구광역시 달서구 진천동,"아이폰 14프로 입니다
실버색상
256기가
나머지 정상 작동
생활기스
배터리 93퍼

세컨 폰으로 사용하기 좋아용

직거래 대구 
택배거래는 번개페이로 합니다

*페이스 아이디 안돼요",0 days 02:42:48.944372
174947771,1000000,https://img2.joongna.com/media/original/2024/07/03/1719996379792tbj_fBQyy.jpg?impolicy=thumb&size=150,아이폰14프로맥스 퍼플 128GB AAA급 판매,2024-07-11 13:00:14,경기도 부천시 상동,"[155479]
​

아이폰14프로맥스 퍼플 판매합니다

89% 배터리 성능 제품입니다!

128GB 제품으로 용량넉넉하구요

25%선택약정가능합니다!

단자기스/테두리기스 있습니다(필름+케이스 끼우면 안보여요!)

잔상/기능이상은 없는제품입니다!

구매하시면 필름 케이스 충전기 드립니당

​


＃

★제품이상시 판매자 동의없이 수리시엔 금액청구 안받습니다!

(미동의 수리시 전액 구매자 책임입니다) 기기 이상있을땐 꼭 전화주세요!★

부천시 상동 근처 직거래가능
택배거래시 택배비무료!
채팅 혹은 01084142474",0 days 04:37:09.944372
176027341,950000,https://img2.joongna.com/media/original/2024/07/11/1720669672442vaq_2c5XG.jpg?impolicy=thumb&size=150,아이폰 14프로 512기가 블랙 자급제 판매합니다,2024-07-11 12:48:08,경기도 의정부시 의정부2동,"아이폰 14 pro 512gb 스페이스 블랙 자급제입니다.

기기 단품입니다. 생폰사용하여 사용감있습니다.
애플케이 가입되어있어 편하게 사용하시다 리퍼받으시면 될 것 같아요.

의정부 직거래 또는 택배비별도 택배거래 가능합니다",0 days 04:49:15.944372
176021679,1150000,https://img2.joongna.com/media/original/2024/07/11/1720667113663ps7_QP97f.jpg?impolicy=thumb&size=150,아이폰14프로맥스 512GB 그라파이트 배터리 96%,2024-07-11 12:06:23,서울특별시 구로구 개봉제1동,"액정 깨끗하며 기기단품으로 팝니다
다만 테두리에 사용감이 있으니 
사진 꼭 참고해주세요
테두리 외에는 상태 정말 좋고 안되는 기능은 없어요
배터리는 96% 입니다
개통일자는 23년 9월 이고 25% 선택약정 가능해요

직거래는 평일 19시전에는 부평역
21시이후에는 개봉역 가능합니다
택배요청시 선불로 배송해 드립니다

-투명 젤리케이스 같이 드립니다-",0 days 05:31:00.944372
